SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-1109.88758456707,-1.07406633976612e-08,33,0.5782347,16.9822514,17.5604861,,,,,,-6.42330633127131e-10,0,33,0.5596322,75.8653726,76.4250048,99.9999999999421,,,,,,0,0,1,3.0437122,0.017399,3.0611112,100,,,,,,-2.38418579101562e-07,0,33,0.6982328,30.5661323,31.2643651,99.9999999785187
2,,,,,,-1574.60243594646,-7.57075480320382e-09,33,0.5796453,17.8034995,18.3831448,,21,,,,-466.920973300934,8.58341480923746e-07,33,0.60535,85.8868339,86.4921839,70.3467387931306,,21,,,,-466.92007458486,-7.22217605121559e-09,2,10.3280992,0.0534987,10.3815979,70.3467958688758,,21,,,,-465.948709964752,8.96804858681609e-09,33,0.569874,35.2727869,35.8426609,70.4084853847772
3,,,,,,0,0,33,0.6605205,14.7799845,15.440505,,,,,,-1.69757186085917e-09,0,33,0.5725982,80.451084,81.0236822,0,,,,,,0,0,1,2.5732222,0.0159375,2.5891597,0,,,,,,-2.13636991185093e-09,0,33,0.5455702,33.5568725,34.1024427,0
4,,,,,,-1176.62751531601,-2.02628763986987e-08,33,0.5395678,17.61942,18.1589878,,18,21,,,-529.473960876465,-3.43787009490545e-09,33,0.5737241,90.3425362,90.9162603,55.0007156908733,,18,21,,,-537.235736690935,5.16339225214881e-12,1,2.9123722,0.0224801,2.9348523,54.3410527377776,,18,21,,,-531.381962537766,8.18473745891041e-08,33,0.5225575,37.7778982,38.3004557,54.8385571796652
5,,,,,,-1321.21974170208,-9.02266941585419e-09,33,0.5732746,17.0729574,17.646232,,1,6,18,23,-1155.46988630295,-8.86972581031116e-07,33,0.5089192,74.0501251,74.5590443,12.5452148622607,,1,6,18,23,-1155.5173279444,1.25934201733295e-12,1,5.3426613,0.0217312,5.3643925,12.5416241165309,,1,6,18,23,-1155.51729297638,3.43058156411984e-08,33,0.5337284,35.7159879,36.2497163,12.5416267631781
6,,,,,,-882.647459745407,0,33,0.4958325,11.7227868,12.2186193,,23,,,,-5.39096212387085,1.80537063310401e-06,33,0.5782183,94.2049031,94.7831214,99.3892281607624,,23,,,,-5.39225338238487,1.81316925424873e-10,1,2.8427616,0.0201908,2.8629524,99.3890818669619,,23,,,,-5.23340225219727,1.37443838890737e-06,33,0.5289326,38.6191717,39.1481043,99.407078987832
7,,,,,,-1960.67793506384,2.28000135984024e-08,33,0.527929,16.2861222,16.8140512,,15,17,,,-820.915034770966,-2.22167903889602e-09,33,0.5420076,88.7725807,89.3145883,58.1310617062543,,15,17,,,-820.917135580873,4.98555332881705e-13,1,2.8456402,0.0220366,2.8676768,58.130954559136,,15,17,,,-820.79229426384,-4.32391890738745e-08,33,0.5520855,36.6826907,37.2347762,58.137321811748
8,,,,,,-1589.04925274849,1.21906287791245e-08,33,0.5391476,13.7453654,14.284513,,12,25,,,-1069.71279478073,9.18674736814851e-09,33,0.5427545,76.8685494,77.4113039,32.6822127803459,,12,25,,,-1069.71239834887,-8.82859409088084e-09,2,6.8790625,0.0453116,6.9243741,32.6822377280849,,12,25,,,-1069.69692516327,1.32710767111875e-08,33,0.5587944,34.3073354,34.8661298,32.6832114666632
9,,,,,,-1249.99999821186,0,33,0.358645,10.2281299,10.5867749,,16,,,,-646.078864097595,1.15507212681858e-08,33,0.3793042,57.1808273,57.5601315,48.3136907982545,,16,,,,-646.09566991033,0,1,2.6932831,0.0138287,2.7071118,48.3123463332338,,16,,,,-645.887513875961,2.26585996872424e-09,33,0.3592021,26.2281952,26.5873973,48.3289988160071
10,25,10,5,5,1000,-678.972190499306,-8.77865774319244e-09,33,0.3610678,8.8329498,9.1940176,,2,5,11,,-577.695037841797,4.30465320018314e-07,33,0.3361718,58.1069534,58.4431252,14.916244593616,,2,5,11,,-578.681705677882,2.36433663132544e-09,1,2.0686295,0.0133034,2.0819329,14.7709267367301,,2,5,11,,-578.681107521057,-1.88152260040361e-09,33,0.3245036,22.6142214,22.938725,14.7710148341269
