SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2684.8775895834,4.99503036059973e-09,9,0.4929246,1.4131021,1.9060267,,13,14,-2201.70790600777,1.75431012839526e-08,9,0.4060482,5.9769634,6.3830116,17.9959669465081,,13,14,-2201.70790620414,3.07389681675395e-09,1,0.4073038,0.0081026,0.4154064,17.9959669391941,,13,14,-2201.69810724258,3.67772098420223e-10,8,0.1545638,3.6661087,3.8206725,17.9963319078463
2,,,,,,-1624.97035896778,-1.83402252374784e-09,9,0.6253312,2.0569756,2.6823068,,3,14,-1624.99852609634,-9.99236149932981e-09,9,0.4052699,5.8296707,6.2349406,-0.00173339337591485,,3,14,-1624.99855811559,3.30216830880324e-12,1,0.3433495,0.0081295,0.351479,-0.00173536382714729,,3,14,-1624.99854946136,-5.31358145937789e-07,8,0.139828,3.4530524,3.5928804,-0.00173483124957347
3,,,,,,-3059.53621160984,-2.28299939157799e-09,9,0.4752336,0.8995543,1.3747879,,4,7,-2769.38170433044,-2.52361692482653e-05,9,0.495711,5.8604198,6.3561308,9.48361082239733,,4,7,-2769.38249806484,3.21842435402219e-12,1,0.4668085,0.0085596,0.4753681,9.48358487943273,,4,7,-2769.38235139847,-5.29571111607057e-06,9,0.1890738,4.0797051,4.2687789,9.48358967317801
4,,,,,,-2547.70162332058,1.35254988046285e-09,8,0.5172174,1.0039834,1.5212008,,14,15,-2111.28986430168,-1.31389940904873e-08,9,0.424987,5.9683065,6.3932935,17.1296259744143,,14,15,-2111.29165106854,3.09971649227155e-09,1,0.5323715,0.0067182,0.5390897,17.1295558419138,,14,15,-2111.29154729843,9.61615833182799e-09,9,0.0999752,4.1233142,4.2232894,17.1295599150009
5,,,,,,-2339.88422214985,-2.62693723658457e-09,9,0.2560374,0.9073048,1.1633422,,14,15,-2108.12069106102,-9.82122942687196e-05,9,0.1171405,5.8573714,5.9745119,9.90491447802868,,14,15,-2108.12276220322,2.29463626681739e-09,1,0.3749462,0.0109405,0.3858867,9.90482596329888,,14,15,-2108.12266135216,-4.7801515975134e-06,9,0.1136272,4.0777307,4.1913579,9.90483027338645
6,,,,,,-2653.8147149086,-2.4705986022535e-08,9,0.1704808,0.8849582,1.055439,,13,15,-2289.5834543705,9.56191866361827e-09,9,0.1340423,6.2569597,6.391002,13.7248187860261,,13,15,-2289.58390490173,2.76834559875969e-09,1,0.3073989,0.0099518,0.3173507,13.724801809286,,13,15,-2289.58390474319,-3.43251655954121e-09,9,0.1168307,4.1394935,4.2563242,13.7248018152597
7,,,,,,-1902.5083360672,3.53680742104205e-09,9,0.1578223,0.7177556,0.8755779,,12,,-1902.51947188377,-2.45173837702129e-09,9,0.1174654,5.465351,5.5828164,-0.000585322879431701,,12,,-1902.51947210254,3.8243801027395e-13,1,0.3271118,0.0090912,0.336203,-0.000585334378406077,,12,,-1902.51947212219,4.27804719238279e-10,9,0.1066385,3.7301682,3.8368067,-0.000585335411233774
8,,,,,,-2746.03387355804,4.06982266424308e-09,9,0.1123973,0.8493122,0.9617095,,8,9,-2173.10584378242,-0.000621391714354513,9,0.1291463,5.9622991,6.0914454,20.8638369428879,,7,8,-2173.11935674708,1.88334163297157e-13,1,0.3847802,0.0087773,0.3935575,20.8633448526487,,8,9,-2173.1187620163,-2.73573332736566e-05,9,0.1054568,4.1358661,4.2413229,20.8633665104582
9,,,,,,-3618.0632737875,6.58967411733457e-09,8,0.068704,0.5442091,0.6129131,,6,8,-2937.44486570358,3.92339383031293e-09,9,0.0755427,4.0901946,4.1657373,18.8116778668556,,6,8,-2937.44486562928,1.06432228700731e-09,1,0.5599787,0.0056783,0.565657,18.8116778689092,,6,8,-2937.44486546516,-5.65176033851913e-09,9,0.0661564,2.2690579,2.3352143,18.8116778734453
10,15,5,2,3,750,-1015.69673043489,-3.22759280837974e-08,9,0.0709564,0.7186904,0.7896468,,2,13,-1015.72068977356,3.17540334018631e-08,9,0.0616437,4.2564098,4.3180535,-0.0023589067432313,,2,13,-1015.72080123926,1.99351389360312e-09,1,0.2001908,0.0087891,0.2089799,-0.00236988105270407,,2,13,-1015.72080087662,-1.44884454798418e-08,9,0.0803789,2.3941946,2.4745735,-0.00236984534867642
