SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-3340.88646328449,3.56819337804087e-09,33,1.106575,28.2186535,29.3252285,,23,24,,,-94.3008668422699,1.94624290300481e-07,33,1.3089903,590.2895767,591.598567,97.1773699023115,,23,24,,,-95.6087944058513,6.90773313256069e-07,37,201.7477978,1.6310363,203.3788341,97.1382207849154,,,,,,-4.00228287600174e-13,0,33,0.8649679,64.6578886,65.5228565,100
2,,,,,,-4505.13324093819,5.2921537799382e-09,33,0.7777519,31.3629412,32.1406931,,18,21,,,-1157.37262153625,1.97878321205445e-08,33,1.3165981,546.6605137,547.9771118,74.3099136110071,,18,21,,,-1157.51642885344,1.51930996083673e-08,117,1718.3585774,4.305008,1722.6635854,74.3067215341142,,18,21,,,-807.401144981384,-1.98232165773917e-09,33,0.6643627,59.7205159,60.3848786,82.078196097631
3,,,,,,0,0,33,1.2044551,28.1113754,29.3158305,,,,,,-6.51421851216583e-06,0,33,1.5331891,617.4061566,618.9393457,0,,,,,,1.1127848519041e-07,0,1,4.0097536,0.0215473,4.0313009,0,,,,,,-5.40603070167621e-10,0,33,1.2915153,57.0411979,58.3327132,0
4,,,,,,-3957.34025928378,5.27162798863355e-09,33,1.1219087,29.9498774,31.0717861,,2,18,21,,-2257.68644762039,2.57997202143542e-08,33,1.6713825,770.7524162,772.4237987,42.9493978354796,,2,18,21,,-2259.27294598126,7.60179693248171e-09,2,10.1371381,0.0571938,10.1943319,42.9093078190311,,18,21,,,-1725.17053318024,1.92086695675233e-07,33,0.9203442,83.2780011,84.1983453,56.4058074325793
5,,,,,,-3909.04216650128,-1.60102844503659e-08,33,1.0944368,30.0551328,31.1495696,,1,6,18,23,-3860.76684427261,-3.17440122640702e-09,33,1.2053446,469.0734648,470.2788094,1.23496550235164,,1,6,18,23,-3860.89771479517,-1.08360177792936e-12,2,15.5424157,0.0592471,15.6016628,1.23161761002954,,1,6,18,23,-2643.52123498917,-3.48326619690179e-08,32,1.3454696,66.7002812,68.0457508,32.3741949461957
6,,,,,,-2774.10002225637,-2.14861195692972e-09,33,0.3102218,9.5617905,9.8720123,,23,,,,-366.463570833206,2.08422804158218e-09,33,0.4340947,293.5959578,294.0300525,86.7898212792221,,23,,,,-367.415079614826,1.20957706957013e-07,13,28.8997778,0.2450665,29.1448443,86.7555215505178,,23,,,,-11.508318901062,1.83529806923612e-06,33,0.2763127,24.9009806,25.1772933,99.5851512631581
7,,,,,,-5684.85723149776,-4.19392377667059e-09,33,1.6694582,27.6792623,29.3487205,,11,15,17,,-2785.29259467125,-1.40272126435006e-08,33,0.8639443,455.0510073,455.9149516,51.0050563936956,,11,15,17,,-2785.32617871856,1.97090707450171e-08,13,67.386266,0.6757626,68.0620286,51.004465630446,,15,17,,,-2244.80897474289,-7.8520178630294e-09,33,1.5180616,84.267748,85.7858096,60.5124828411661
8,,,,,,-4844.9990003109,-1.84534542024361e-09,33,1.3697625,23.8294716,25.1992341,,6,12,,,-3505.52165746689,6.43948366411925e-09,33,1.0666232,477.6659002,478.7325234,27.6465968880088,,6,12,,,-3505.52195619452,6.09439359148621e-11,3,20.5108756,0.1134146,20.6242902,27.6465907223185,,6,12,,,-3040.7021985054,-1.46310483660162e-08,33,1.3690357,65.2932942,66.6623299,37.2403957501274
9,,,,,,-3584.01288414001,0,33,0.60334,21.2806988,21.8840388,,3,16,,,-2559.84259748459,-7.3665073654173e-09,33,0.6423324,534.3008086,534.943141,28.5760771449117,,3,16,,,-2569.25940414984,1.18303791684705e-10,2,5.7898602,0.0526327,5.8424929,28.3133323677676,,3,16,,,-1909.52491044998,3.18273745076469e-09,33,0.6154239,63.1241684,63.7395923,46.721036665353
10,25,10,5,5,2000,-2413.8773239553,-6.17312282027287e-09,33,0.5290642,18.7057443,19.2348085,,2,5,11,,-2371.66763782501,2.29629741847416e-09,33,0.7660071,463.5611757,464.3271828,1.74862598489976,,2,5,11,,-2373.12708088955,-2.14618524685971e-12,2,8.2400821,0.0466349,8.286717,1.68816545320438,,2,5,11,,-1495.569480896,-2.29744533615146e-08,33,0.5679838,61.9078543,62.4758381,38.0428547029305
