SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-6463.03754448891,3.68895550212089e-09,9,0.1754435,4.1158476,4.2912911,,18,,,-5870.04122114182,-5.41639800891794e-09,9,0.1246633,26.0363766,26.1610399,9.17519539790923,,18,,,-6420.73871675273,-5.35860219296864e-11,4,3.1190209,0.1409978,3.2600187,0.654472876646701,,18,,-5555.09334659576,-1.13920196825826e-08,9,0.1763536,38.1637129,38.3400665,14.0482581393536
2,,,,,,-5756.32191157341,-1.03546406352904e-09,9,0.2428896,3.6237693,3.8666589,,4,,,-5708.54844999313,1.74511250165733e-09,9,0.1485359,22.5492078,22.6977437,0.829930332496264,,4,,,-5715.37866152823,1.44347853893136e-09,2,1.0569582,0.0716383,1.1285965,0.711274502610106,,4,,-4957.10904121399,-4.92768600012547e-07,9,0.2359852,32.4394631,32.6754483,13.884089226361
3,,,,,,-9833.43569254875,-2.42457048132448e-09,8,0.2627976,3.5784484,3.841246,,10,17,,-9581.72629117966,1.19408997925935e-10,9,0.149573,24.2263576,24.3759306,2.5597299788092,,6,10,,-9765.55472752854,-1.96491850728294e-10,2,1.9684644,0.0920842,2.0605486,0.690307712813468,,6,10,-8439.24684619904,-2.27435525357603e-06,9,0.2120591,36.9186365,37.1306956,14.1780440726953
4,,,,,,-10190.7666492462,0,8,0.2366769,4.1002526,4.3369295,,4,20,,-8280.92448472977,1.06319044059654e-08,9,0.1240306,33.2717958,33.3958264,18.7409076299251,,4,19,20,-8456.00956479,6.86960275495851e-10,2,1.7110455,0.0739222,1.7849677,17.0228319827589,,4,20,-7162.96284008026,-1.55429857580735e-07,9,0.1433091,43.8636513,44.0069604,29.7112465958576
5,,,,,,-6159.13983011246,0,9,0.1752339,3.4356102,3.6108441,,20,,,-6104.18551683426,-3.4694320822364e-08,9,0.1367739,35.778117,35.9148909,0.89224006588587,,20,,,-6104.22918106336,-1.36268599133691e-09,2,1.4222647,0.0767815,1.4990462,0.891531132003756,,20,,-5344.4702129364,-5.47474888816708e-06,9,0.1313642,31.3566395,31.4880037,13.2270031148356
6,,,,,,-6274.89785242081,3.79956111970145e-09,9,0.1482087,3.6760832,3.8242919,,14,17,20,-6034.42602443695,-6.2722067613105e-09,9,0.1846523,31.8892178,32.0738701,3.83228275008627,,17,20,,-6226.29924746381,7.76816634054103e-11,2,1.2978764,0.0757106,1.373587,0.774492367843816,,17,,-5407.0171585083,-2.49786452038078e-09,9,0.1300017,34.3731194,34.5031211,13.8309931782823
7,,,,,,-4852.45306921005,-9.82672374986516e-09,8,0.2067805,3.5040439,3.7108244,,5,15,,-4814.1522603035,-8.89621669463078e-09,9,0.226704,31.4520929,31.6787969,0.789308177951947,,5,15,,-4815.06662961841,9.04042223392985e-10,2,1.4195512,0.0633004,1.4828516,0.770464733165002,,5,15,-3983.38763713837,-8.15355283663337e-07,9,0.1560541,27.7327981,27.8888522,17.9098163274594
8,,,,,,-7793.49188065529,3.05920096861018e-09,9,0.1316272,3.2679643,3.3995915,,9,10,,-6501.15848493576,8.42254661935388e-09,9,0.1441748,25.2111927,25.3553675,16.5822126398477,,9,10,,-7750.68008511545,2.04445856570447e-09,2,1.6354238,0.0748003,1.7102241,0.549327518337443,,9,10,-6636.08055019379,-4.13099649644222e-09,9,0.1419403,34.5780158,34.7199561,14.8509980915536
9,,,,,,-10024.5726360083,0,9,0.0628717,1.3886812,1.4515529,,6,8,,-9971.98197984695,-3.7876710412435e-09,9,0.077067,23.1543123,23.2313793,0.524617438277645,,6,8,,-9973.35315176595,5.54650837180454e-10,2,1.0356686,0.0494238,1.0850924,0.510939329805797,,6,8,-8623.28444385529,4.69510756680584e-09,8,0.0686878,18.6516549,18.7203427,13.978532981242
10,20,5,2,3,1500,-7265.10000562668,1.64084856999155e-09,9,0.09597,1.8830429,1.9790129,,6,,,-7065.61490774155,-9.07639196995401e-10,9,0.0950118,18.6482069,18.7432187,2.74579975128538,,6,,,-7215.52933879197,5.49337356021394e-10,2,0.8585383,0.0628889,0.9214272,0.682312243414688,,6,,-6312.60180521011,3.35965166300495e-09,9,0.0761754,18.8227901,18.8989655,13.1105999873212
