SNo,d,s,t,r,w_i,SDP_MPtime,SDP_SPtime,SDPtime,SDP_Iters,SDP_AvgGap,NULL1,PROJ_MPtime,PROJ_SPtime,PROJtime,PROJ_Iters,PROJ_AvgGap,NULL2,IA_COP_MPtime,IA_COP_SPtime,IA_COPtime,IA_COP_Iters,IA_COP_AvgGap,NULL3,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_time,DiscreteLB_Iters
,15,5,2,3,1500,0.22386526,6.60166324,6.8255285,9,10.617328074463,,1.70935078,0.03788118,1.74723196,3,10.617221638369,,0.1234106,4.87717376,5.00058436,8.6,24.2256036111377,,0.2128184,1.06742168,1.28024008,8.8
,15,5,3,2,1500,0.05071478,3.5910667,3.64178148,5,38.5806304491972,,2.59481244,0.09593616,2.6907486,6.8,38.3242412654491,,0.0835028,2.04186067,2.12536347,4.5,44.1086110577633,,0.10699447,0.65760749,0.76460196,4.9
,15,5,2,3,2000,0.10536293,6.41613082,6.52149375,9,14.5810904358693,,1.67613809,0.03683132,1.71296941,3,14.5752562789365,,0.16498848,4.83720599,5.00219447,8.7,30.3792354026826,,0.21639519,1.01908506,1.23548025,8.8
,15,5,3,2,2000,0.04825698,3.62759364,3.67585062,5,32.5542507628728,,2.64401625,0.10001692,2.74403317,6.8,31.2836081349004,,0.05596373,2.14877296,2.20473669,4.5,38.002577099732,,0.11157236,0.64336996,0.75494232,5
,20,5,2,3,1500,0.14111866,27.22168774,27.3628064,9,5.66722241624747,,1.5524812,0.0781548,1.630636,2.2,2.32579543993997,,0.14719305,31.69004816,31.83724121,8.9,15.8729581714962,,0.17384996,3.25737436,3.43122432,8.7
,20,5,3,2,1500,0.10980896,10.17826651,10.28807547,5,26.570347990185,,13.30989625,0.45709187,13.76698812,15.9,21.7489081855952,,0.0607733,12.54704358,12.60781688,4.7,33.3489242129779,,0.06702899,1.56584158,1.63287057,4.7
,20,5,2,3,2000,0.13584837,25.68560346,25.82145183,9,6.73627303035371,,1.93755848,0.09318836,2.03074684,2.7,2.70855123389407,,0.16226832,31.90767176,32.06994008,8.9,16.7043698821467,,0.1548679,3.15002166,3.30488956,8.8
,20,5,3,2,2000,0.09830316,10.15729732,10.25560048,5,30.8476531003653,,13.50952508,0.46498655,13.97451163,16.3,27.4963721059293,,0.05457934,12.25665951,12.31123885,4.7,40.7597883984101,,0.07203951,1.51527957,1.58731908,4.5
,25,10,5,5,1500,1.07136648,521.73249742,522.8038639,33,31.068785847368,,176.04326078,0.54500639,176.58826717,15.5,33.5530348332074,,0.8862245,60.65619781,61.54242231,32.9,42.5036940268926,,0.83860085,24.27914454,25.11774539,33
,25,10,5,5,2000,1.08085063,521.83569776,522.91654839,33,41.1437824541888,,208.06225443,0.72075438,208.78300881,19.2,41.0993943472345,,0.94334774,63.08919302,64.03254076,32.9,55.2960119699141,,0.97869742,24.87549478,25.8541922,33
