SNo,d,s,t,r,w_i,SDP25,SDP50,SDP75,NULL1,PROJ25,PROJ50,PROJ75,NULL2,IA_COP25,IA_COP50,IA_COP75
,15,5,2,3,1500,2.40963468790255,12.1383963717314,15.1223875871284,,2.40883125789746,12.1383951310299,15.1223818081602,,20.1138340143285,25.2079486581962,27.3246790362737
,15,5,3,2,1500,20.88136209969,24.7478364396932,66.2051888172819,,20.6513616011316,24.7478278682849,66.2051898178938,,30.6363634267299,35.2027648417478,72.4993672697742
,15,5,2,3,2000,3.56144216830379,17.7333636133182,21.7024482866022,,3.50323778301573,17.7333540178573,21.7024481897145,,26.4483639165908,32.423595312431,35.6859084725576
,15,5,3,2,2000,0,28.9633447689663,36.3869163213389,,0,25.6497846601647,30.5884179256394,,0,37.5927647841509,43.0849382003371
,20,5,2,3,1500,0.829930332496264,2.65276486504729,9.17519539790923,,0.654472876646701,0.700791107711787,0.774492367843816,,13.8309931782823,14.0133955602978,14.8509980915536
,20,5,3,2,1500,2.01717090790672,17.1975753489925,46.2520970679845,,0.811579253966722,6.49306010287194,46.2248614885876,,16.2983153293524,20.6533955641259,54.10894550636
,20,5,2,3,2000,0.971071840030965,3.5132503291137,9.94453445786442,,0.700661643069171,0.737743623521389,0.778933459150107,,14.3956438899278,15.2567660783931,15.7830870668561
,20,5,3,2,2000,3.98523322077777,21.3760571081323,53.630109458188,,1.02226745696261,14.424577939007,53.5985293362162,,19.3506609705011,30.7864695231432,62.7402616125243
,25,10,5,5,1500,1.07846216442338,25.4619612411723,60.8116184092831,,1.04117323215039,25.4297568808671,60.8090061382019,,23.4628673059294,35.9963825761774,67.1688028994305
,25,10,5,5,2000,1.74862598489976,35.7627374901956,74.3099136110071,,1.68816545320438,35.6113200933993,74.3067215341142,,37.2403957501274,51.5634220489662,82.078196097631
