SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-5938.33685195446,2.25838402381114e-09,9,0.4904546,1.154206,1.6446606,,13,14,-4553.19482636452,4.29060186068974e-10,9,0.1159522,6.475533,6.5914852,23.3254202333446,,13,14,-4553.20142367215,4.99371001381827e-12,2,0.998547,0.0303409,1.0288879,23.3253091364534,,13,14,-3679.08178377151,-5.10805098157878e-06,8,0.1458272,4.5798256,4.7256528,38.0452494445371
2,,,,,,-3672.64027178288,8.41898666602158e-09,9,0.3108955,1.2193732,1.5302687,,3,14,-3608.26921534538,-9.7837193457426e-07,9,0.0998316,6.9099331,7.0097647,1.75271879830048,,3,14,-3608.26932405637,1.89043822694162e-12,2,1.057791,0.0228874,1.0806784,1.75271583827761,,3,14,-2791.57026338577,8.18241182594593e-09,8,0.1677189,4.5448711,4.71259,23.9900982180699
3,,,,,,-7155.52008283138,-2.60308842357958e-10,9,0.3065961,1.1419438,1.4485399,,4,7,-6171.097864151,2.89170809431027e-09,9,0.1079503,6.6536516,6.7616019,13.7575215677524,,4,7,-6171.09791873887,5.57006925046988e-09,11,7.2483971,0.1386156,7.3870127,13.7575208048747,,4,7,-5227.53490066528,-1.5026091820702e-09,9,0.5455975,5.1873839,5.7329814,26.9440258688116
4,,,,,,-5920.69198846817,-6.60658386047376e-10,8,0.4880965,1.0541534,1.5422499,,14,15,-4635.75687146187,-7.06680701042247e-09,9,0.0978599,6.8745517,6.9724116,21.7024482866022,,14,15,-4635.75687719829,-5.41487710289582e-12,2,1.2556105,0.0248275,1.280438,21.7024481897145,,14,15,-3749.02267813683,2.8042300644147e-09,9,0.1216575,5.4803193,5.6019768,36.6793157718919
5,,,,,,-5188.47477245331,-1.72318400077352e-09,9,0.1009104,1.0605761,1.1614865,,14,,-4272.40055012703,-5.76788675959157e-07,9,0.1342836,6.9453069,7.0795905,17.6559444249379,,14,,-4272.40119265311,1.01180299382004e-10,2,1.0469164,0.0284381,1.0753545,17.6559320412199,,14,,-3816.20808291435,-1.86948053634446e-06,9,0.1137901,5.5558333,5.6696234,26.4483639165908
6,,,,,,-5625.06119084358,-9.27173277036749e-10,9,0.1165242,1.2239809,1.3405051,,13,15,-4623.19375967979,-6.90776393348699e-06,9,0.1190554,7.1751815,7.2942369,17.8107828016985,,13,15,-4623.19414258917,-1.18034589124597e-13,2,0.8942557,0.0259728,0.9202285,17.8107759944948,,13,15,-3853.06342053413,9.12121070448598e-09,9,0.1206366,6.5376851,6.6583217,31.50183989454
7,,,,,,-4335.96782612801,1.71832008347192e-09,9,0.0956986,0.9074023,1.0031009,,12,,-4288.30459785461,2.58754920652365e-09,9,0.1040155,5.7310173,5.8350328,1.09925235114013,,12,,-4288.30466253823,4.70833673636615e-11,2,0.7241271,0.0237827,0.7479098,1.09925085934827,,12,,-3647.51802015305,-2.02587264600501e-06,9,0.1622696,3.9870228,4.1492924,15.8776502405402
8,,,,,,-6517.67215037346,-2.28627044289023e-10,9,0.1124415,1.0421784,1.1546199,,8,9,-5161.0833132267,-1.85131433830159e-09,9,0.1119561,6.9963229,7.108279,20.8140085270939,,8,9,-5161.08341942984,2.4340793389262e-09,2,0.9855003,0.0279268,1.0134271,20.8140068976297,,9,,-4218.59253311157,-7.04511525105708e-06,9,0.1234077,5.6234255,5.7468332,35.274551468965
9,,,,,,-7770.0231128931,3.06844105400337e-09,8,0.0683876,0.6294113,0.6977989,,6,8,-5879.47041320801,-2.10068886856382e-09,9,0.0836768,4.5997718,4.6834486,24.3313651995195,,6,8,-5879.47040972571,-6.12572012108965e-12,3,2.1109446,0.026026,2.1369706,24.3313652443366,,6,8,-5179.08165407181,-2.58567075851686e-10,9,0.0762215,3.1137498,3.1899713,33.3453507303221
10,15,5,2,3,2000,-2201.0388302803,1.21861049336917e-08,9,0.0739469,0.7576252,0.8315721,,2,5,-2122.65010523796,-0.0591422291178346,9,0.0790479,5.8000384,5.8790863,3.56144216830379,,2,5,-2123.93120635908,3.38288176306941e-12,2,0.4392912,0.0194954,0.4587866,3.50323778301573,,2,5,-1415.57812786102,-8.89597991263572e-09,8,0.0727582,3.7619435,3.8347017,35.6859084725576
