SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2649.72030889988,1.56759891556614e-08,9,0.5522952,1.4528379,2.0051331,,13,14,-1825.63935828209,-2.20916362633262e-08,9,0.3931666,3.4785869,3.8717535,31.100676846906,,13,14,-1825.64736326334,-2.64033570578504e-12,2,0.8043442,0.0216481,0.8259923,31.1003747402562,,13,14,-1825.64701914787,-1.33736017765145e-08,8,0.4424621,6.3370164,6.7794785,31.1003877271163
2,,,,,,-1559.81894600391,1.31355608252043e-08,9,0.3862033,1.8732147,2.259418,,3,14,-1262.81206250191,3.75931449002216e-08,9,0.3796017,3.884357,4.2639587,19.0411127049653,,3,14,-1262.8120627578,6.69798854155426e-12,2,0.6723599,0.0278982,0.7002581,19.04111268856,,3,14,-1262.81206226349,-1.76142694435392e-08,8,0.419413,5.0695759,5.4889889,19.0411127202503
3,,,,,,-2965.33690953255,1.66456959059001e-09,9,0.1512834,1.344506,1.4957894,,4,7,-2239.90079474449,-1.20899531614516e-08,9,0.3818305,3.9600425,4.341873,24.4638682524075,,4,7,-2239.90080180021,2.48611844909081e-08,15,9.6312592,0.1654765,9.7967357,24.4638680144676,,4,7,-2239.90080070496,1.16896968313265e-08,9,0.2798091,4.8743356,5.1541447,24.4638680514029
4,,,,,,-2489.01983880997,1.83344485425946e-09,8,0.2363322,1.4912721,1.7276043,,14,15,-1733.33731675148,2.14648301859653e-08,9,0.3849258,4.0577787,4.4427045,30.3606468006213,,14,15,-1733.3373167957,1.91025980291569e-08,18,12.5383005,0.7787272,13.3170277,30.3606467988448,,14,15,-1733.33731651306,5.42308581595011e-09,9,0.1710022,5.4608695,5.6318717,30.3606468102001
5,,,,,,-2266.3478012681,5.50653456317012e-09,9,0.1960253,1.5108397,1.706865,,14,15,-1679.66820716858,-1.08224901685598e-05,9,0.2241244,4.5019679,4.7260923,25.8865648851978,,14,15,-1679.6683897467,6.22693689673233e-13,3,1.0917294,0.0300831,1.1218125,25.8865568291477,,14,15,-1679.66828346252,-6.8954499073598e-07,9,0.1053134,4.948351,5.0536644,25.8865615188149
6,,,,,,-2588.44208061695,1.72704206581621e-09,9,0.1222662,1.5256874,1.6479536,,13,15,-1935.05623459816,1.78462585266879e-09,9,0.1755877,4.5836618,4.7592495,25.2424364026356,,13,15,-1935.05629352917,1.55711773466977e-09,2,0.7714804,0.0237233,0.7952037,25.2424341259376,,13,15,-1935.0562787056,-1.55918578809741e-09,9,0.1651503,5.6824132,5.8475635,25.2424346986207
7,,,,,,-1862.8618645668,-2.4997091634383e-11,9,0.1390941,1.6669343,1.8060284,,12,,-1610.15218496323,-2.21514458727345e-08,9,0.0979571,3.0811553,3.1791124,13.5656692753406,,12,,-1610.15361349657,9.75608311986406e-10,2,0.6697822,0.0210365,0.6908187,13.5655925904628,,12,,-1610.15361213684,5.42950427583734e-09,9,0.1029793,4.5281766,4.6311559,13.5655926634543
8,,,,,,-2716.67780900002,3.29104050789136e-09,9,0.0950015,1.2694503,1.3644518,,9,,-1713.22235107422,2.24750557613169e-07,9,0.1323824,4.4999055,4.6322879,36.9368592256864,,9,,-1713.22341823351,3.25452061564577e-08,16,9.9321087,0.1691521,10.1012608,36.9368199439105,,9,,-1713.22330665588,3.2839372616548e-07,9,0.104126,4.5832682,4.6873942,36.9368240510454
9,,,,,,-3531.36319172382,5.90752764266175e-09,8,0.0816758,0.9458401,1.0275159,,6,8,-2448.13147377968,2.06151649175759e-07,9,0.1565391,3.7315761,3.8881152,30.6746052199567,,6,8,-2448.13178140274,1.11451684343373e-13,2,1.7536937,0.0213428,1.7750365,30.6745965087864,,6,8,-2448.13177967072,-5.38969200697434e-09,9,0.0900312,4.1614234,4.2514546,30.6745965578333
10,15,5,2,3,750,-935.323314130306,7.96578090630791e-09,9,0.0767931,1.16785,1.2446431,,2,13,-567.920587301254,-5.96846472856166e-08,9,0.1117612,4.8529221,4.9646833,39.2808263494078,,2,13,-567.927315916606,-9.60856795878941e-13,3,0.7901088,0.0303322,0.820441,39.2801069601603,,2,13,-567.927312374115,7.03667464571192e-09,9,0.1040553,4.9450767,5.049132,39.2801073389054
