SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-1400.70542168617,7.97874465419874e-09,33,0.6131787,26.3947314,27.0079101,,,,,,-1.19209289550781e-06,0,33,0.525222,76.0245908,76.5498128,99.9999999148934,,,,,,0,0,4,10.6966582,0.1023561,10.7990143,100,,,,,,-3.37451845201121e-15,0,33,1.2940008,43.5493629,44.8433637,100
2,,,,,,-2010.3579082489,-2.2236579565318e-08,33,0.5613269,24.7725431,25.33387,,21,,,,-485.068023681641,-5.36195220104815e-08,33,0.6194603,83.963739,84.5831993,75.8715589054412,,21,,,,-485.067941507947,1.77025972233497e-07,28,139.7733796,0.626975,140.4003546,75.8715629929568,,21,,,,-485.067939996719,4.70236651246595e-09,33,0.5419361,43.4428699,43.984806,75.8715630681289
3,,,,,,0,0,33,0.8292189,24.4080747,25.2372936,,,,,,-4.56584075436695e-06,0,33,0.5430422,71.4852936,72.0283358,0,,,,,,0,0,1,2.9385745,0.0175745,2.956149,0,,,,,,-7.3057861328956e-12,0,33,0.6026692,36.3719517,36.9746209,0
4,,,,,,-1789.03536844254,-2.33216470052775e-08,33,0.574879,25.2599027,25.8347817,,2,18,21,,-950.334218025208,-2.73396628218807e-07,33,0.6275262,100.1137063,100.7412325,46.8800765603348,,2,18,21,,-950.798739015566,3.23859172356468e-08,15,42.8528063,0.4537504,43.3065567,46.8541116745336,,2,18,21,,-950.767214775085,-4.75603117008725e-07,33,0.6593728,52.8457517,53.5051245,46.8558737548724
5,,,,,,-2071.72808611393,-8.63114882327943e-09,33,1.0171887,24.5669751,25.5841638,,1,6,18,23,-1644.15187978745,1.41935664409676e-07,33,0.4975629,80.8906827,81.3882456,20.6386257536584,,1,6,18,23,-1644.15407601124,1.82545696880914e-12,2,8.1924206,0.0602223,8.2526429,20.6385197443898,,1,6,18,23,-1644.15407562256,-2.42230948624117e-08,33,0.5585673,45.5845583,46.1431256,20.6385197631509
6,,,,,,-1091.68815106153,-2.04744750312048e-09,33,0.570802,19.7172601,20.2880621,,23,,,,-18.9313318729401,-3.03539916686505e-07,33,0.589928,77.6493298,78.2392578,98.2658663232232,,23,,,,-18.9035409228488,4.13140387650626e-06,30,89.7797176,0.7078442,90.4875618,98.2684120090094,,23,,,,-18.9035332202911,-7.11221826749658e-09,33,0.5240003,40.324991,40.8489913,98.2684127145733
7,,,,,,-2413.09107398987,-4.0138372233031e-09,33,0.8256845,28.3142642,29.1399487,,11,15,17,,-1124.17539191246,7.37795388079135e-08,33,0.5482783,89.9268722,90.4751505,53.4134702154561,,11,15,17,,-1124.17716896756,2.62126194614909e-11,2,6.4126988,0.0535785,6.4662773,53.4133965731836,,11,15,17,,-1124.17688941956,2.86045281004112e-09,33,0.6383797,52.9050803,53.54346,53.4134081578275
8,,,,,,-2035.65214395523,-1.09801381621825e-08,33,0.5553117,22.1980264,22.7533381,,12,25,,,-1212.41550779343,1.00799289749315e-08,33,0.5387545,80.8408313,81.3795858,40.4409288987003,,12,25,,,-1212.41551325189,6.73934152237823e-08,30,153.4177666,0.7546086,154.1723752,40.4409286305573,,12,25,,,-1212.41551232338,2.04387640141279e-08,33,0.5413742,41.3791877,41.9205619,40.4409286761695
9,,,,,,-1491.48663711548,-7.99264885009838e-09,33,0.3913043,14.8208936,15.2121979,,3,16,,,-948.364748477936,-1.11916888377858e-08,33,0.5254845,92.2751476,92.8006321,36.4148008518491,,3,16,,,-948.546317242346,-5.8006340832273e-09,2,6.2376824,0.0439521,6.2816345,36.4026271749356,,3,16,,,-948.546317100525,-1.64604749789531e-08,33,0.3561368,35.1696997,35.5258365,36.4026271844443
10,25,10,5,5,750,-1240.2222841382,3.84477173408045e-08,33,0.3443768,14.4780068,14.8223836,,2,5,11,,-898.179508686066,3.42283411716364e-08,33,0.5073511,97.2814499,97.788801,27.5791509172739,,2,5,11,,-898.318831138119,-2.92139813950119e-10,2,3.9911339,0.0495108,4.0406447,27.5679172494198,,2,5,11,,-898.318681716919,2.97646023147528e-08,33,0.3440949,35.1594431,35.503538,27.5679292973568
