SNo,d,s,t,r,w_i,SDP_MPtime,SDP_SPtime,SDPtime,SDP_Iters,SDP_AvgGap,NULL1,PROJ_MPtime,PROJ_SPtime,PROJtime,PROJ_Iters,PROJ_AvgGap,NULL2,IA_COP_MPtime,IA_COP_SPtime,IA_COPtime,IA_COP_Iters,IA_COP_AvgGap,NULL3,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_time,DiscreteLB_Iters
,15,5,2,3,750,0.24378765,4.06319538,4.30698303,9,27.6553265963125,,3.8655167,0.128942,3.9944587,6.5,27.6552109200534,,0.19843419,5.05905065,5.25748484,8.8,27.6552132137644,,0.20369701,1.42484325,1.62854026,8.8
,15,5,3,2,750,0.04513735,2.17437106,2.21950841,5,36.6370354437612,,1.70830805,0.06781015,1.7761182,5.7,36.636999139564,,0.08012239,2.1628575,2.24297989,4.5,36.6370560804451,,0.12053921,0.82265401,0.94319322,5
,15,5,2,3,1000,0.15803149,3.69643912,3.85447061,9,36.4672728365183,,8.90272252,0.14719673,9.04991925,12.7,36.466864337274,,0.1767512,4.70737785,4.88412905,8.9,36.4668653610114,,0.16656644,1.33903895,1.50560539,8.9
,15,5,3,2,1000,0.04723397,2.18381606,2.23105003,5,43.0672124256815,,1.21208731,0.04952908,1.26161639,4.6,43.0671671449113,,0.06829453,2.11440331,2.18269784,4.6,43.0672366594791,,0.10829298,0.77943761,0.88773059,5
,20,5,2,3,750,0.09040475,8.92717904,9.01758379,9,13.5054049727962,,0.94405772,0.05811279,1.00217051,2.1,13.428018776581,,0.1014904,7.82051181,7.92200221,9,13.4280218551485,,0.12125046,3.44001849,3.56126895,9
,20,5,3,2,750,0.0389647,4.72146777,4.76043247,5,38.1686501251982,,15.09906203,0.51594184,15.61500387,19.8,37.42912885411,,0.05835952,3.22572191,3.28408143,4.7,37.9055749931486,,0.05102574,1.7243566,1.77538234,4.6
,20,5,2,3,1000,0.17199409,9.04615834,9.21815243,9,14.5526078824316,,1.03283541,0.05985407,1.09268948,2.2,14.5470134854315,,0.11228902,7.60350704,7.71579606,9,14.5470165919173,,0.13497403,3.46304007,3.5980141,9
,20,5,3,2,1000,0.03833669,4.83109757,4.86943426,5,47.7816981101405,,7.46136341,0.33174031,7.79310372,14.4,47.4251265320449,,0.04498477,3.23414501,3.27912978,4.7,47.7779715543901,,0.06973448,1.69669476,1.76642924,4.6
,25,10,5,5,750,0.552261,85.04516432,85.59742532,33,49.9504478340831,,46.42928385,0.28703725,46.7163211,11.6,49.9457476048986,,0.60605321,42.67328963,43.27934284,33,49.9459262616524,,0.62832715,22.49306781,23.12139496,33
,25,10,5,5,1000,0.6877298,84.17762445,84.86535425,33,66.4504636687109,,57.48432387,0.33654449,57.82086836,13.2,66.4408634497305,,0.99831463,42.29531323,43.29362786,33,66.4410172909206,,0.66559999,22.42812605,23.09372604,33
