SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2399.72030889988,1.73090950115318e-08,9,0.1085169,1.1254998,1.2340167,,14,,-1469.37532019615,-3.95673792647899e-07,9,0.1095975,3.3229486,3.4325461,38.7688925769117,,14,,-1469.37559737324,6.72701776577526e-08,52,47.6107473,0.6195155,48.2302628,38.7688810265202,,14,,-1469.37555027008,6.06804115339475e-09,9,0.0957182,3.695754,3.7914722,38.7688829893807
2,,,,,,-1059.81894600391,1.93326385783113e-08,9,0.3926002,1.613206,2.0058062,,3,14,-762.812062501907,6.22343027608628e-08,9,0.0935069,3.8477838,3.9412907,28.0243040211615,,3,14,-762.812062757799,1.10883153786385e-11,2,0.7987425,0.0877932,0.8865357,28.0243039970167,,3,14,-762.812062263489,-2.91598848807627e-08,8,0.4396329,5.2356615,5.6752944,28.0243040436577
3,,,,,,-2624.81578493118,-1.77407226054132e-09,9,0.1381508,1.4153663,1.5535171,,4,7,-1739.90079474449,-1.55642757199475e-08,9,0.1149293,3.9814175,4.0963468,33.7134131571024,,4,7,-1739.90080179834,3.20112557911922e-08,15,9.773495,0.1595512,9.9330462,33.7134128883656,,4,7,-1739.90080070496,1.50489966335308e-08,9,0.2538871,5.502595,5.7564821,33.7134129300212
4,,,,,,-2077.5494248867,1.25518227277098e-09,9,0.3839468,1.5353419,1.9192887,,14,,-1449.2403318882,-1.61116449978988e-06,9,0.1734438,3.7566633,3.9301071,30.2427988221156,,14,,-1449.24063834288,-3.48299341137127e-12,6,3.7249778,0.0795591,3.8045369,30.2427840713385,,14,,-1449.24063682556,-5.95011375065555e-08,9,0.3146168,6.7288519,7.0434687,30.2427841443727
5,,,,,,-2016.3478012085,3.23320114635037e-09,9,0.0595884,0.7996081,0.8591965,,14,,-1413.8382062912,6.56154840709064e-07,9,0.0782244,2.955321,3.0335454,29.8812335131957,,14,,-1413.85398430167,6.81576181308363e-08,14,6.6085494,0.1292183,6.7377677,29.8804510087856,,14,,-1413.85397982597,6.25445108710686e-09,9,0.0601921,2.6433127,2.7035048,29.8804512307558
6,,,,,,-2130.50295805931,4.19651926907097e-09,9,0.1538998,1.7372351,1.8911349,,15,,-1454.9500887394,-1.15841069452281e-05,9,0.3377325,4.1813697,4.5191022,31.7086097798841,,15,,-1455.01408575915,4.50314596083954e-08,15,7.6257574,0.1555258,7.7812832,31.7056059342659,,15,,-1455.01402139664,-2.78780880151149e-09,9,0.1037504,5.7274229,5.8311733,31.7056089552667
7,,,,,,-1612.8618645668,-2.88717401990784e-11,9,0.1421522,1.5303192,1.6724714,,12,,-1360.15218496323,-2.62229472307486e-08,9,0.2646193,3.3089242,3.5735435,15.6684019354287,,12,,-1360.15361349657,1.15492782088334e-09,2,0.6724565,0.0199212,0.6923777,15.66831336409,,12,,-1360.15361213684,6.42746219533061e-09,9,0.1264993,4.3180419,4.4445412,15.6683134483955
8,,,,,,-2466.67780900002,3.62459040401921e-09,9,0.1042102,1.3258545,1.4300647,,9,,-1463.22235107422,2.63150490037685e-07,9,0.2393269,4.8108933,5.0502202,40.6804429125097,,9,,-1463.22341823279,3.80970368011067e-08,15,9.6419711,0.1601798,9.8021509,40.6803996495197,,9,,-1463.22330665588,3.84501656628262e-07,9,0.1771121,5.0248648,5.2019769,40.6804041728875
9,,,,,,-3031.36319172382,6.88192880626867e-09,8,0.1038743,0.9869793,1.0908536,,6,8,-1948.13147377968,2.59061745837714e-07,9,0.0882238,3.1123803,3.2006041,35.7341449847239,,6,8,-1948.13178133126,1.00233728714805e-10,2,1.4297909,0.0206317,1.4504226,35.7341348390713,,6,8,-1948.13177967072,-6.77298960090952e-09,9,0.0927199,3.8775282,3.9702481,35.73413489385
10,15,5,2,3,1000,-491.302213191986,0,9,0.0787248,1.3209793,1.3997041,,5,,-97.0297961235046,1.92195015429032e-07,9,0.0807105,3.6866895,3.7674,80.2504866621498,,5,,-97.0304351523519,2.01632187078869e-07,4,1.1407373,0.0400715,1.1808088,80.2503565937662,,5,,-97.0304341316223,-8.96295379124388e-08,9,0.1033832,4.3197456,4.4231288,80.2503568015262
