SNo,d,s,t,r,w_i,SDP25,SDP50,SDP75,NULL1,PROJ25,PROJ50,PROJ75,NULL2,IA_COP25,IA_COP50,IA_COP75
,15,5,2,3,750,24.4638682524075,28.1236058429096,31.100676846906,,24.4638680144676,28.1236018139962,31.1003747402562,,24.4638680514029,28.1236041645075,31.1003877271163
,15,5,3,2,750,0,34.4780708411507,41.1512086613661,,0,34.4780276467574,41.1512078837641,,0,34.4780771971243,41.1512079066582
,15,5,2,3,1000,29.8812335131957,32.7110114684933,38.7688925769117,,29.8804510087856,32.7095094113157,38.7688810265202,,29.8804512307558,32.7095109426439,38.7688829893807
,15,5,3,2,1000,0,43.6040381501871,52.5432949702024,,0,43.6039831368966,52.543293974364,,0,43.6040367043969,52.5432940065651
,20,5,2,3,750,11.5250906953663,12.7978192020338,15.5034125706366,,11.5250902099903,12.7974185447042,15.497118642102,,11.5250902183474,12.7974215229641,15.4971248398795
,20,5,3,2,750,17.6909922998683,26.4639665993113,56.5026032657887,,17.6909921321823,26.3628778583335,56.5026032025635,,17.6909940569277,26.3628779756011,56.5026036128304
,20,5,2,3,1000,13.0740572931271,13.894727640201,16.9790405566698,,13.0738582251247,13.8946413660388,16.978508623337,,13.073860043278,13.8946427782096,16.9785278987945
,20,5,3,2,1000,22.2447693554959,41.5708302008171,69.0698522132672,,22.2447691446454,41.5654120736609,69.0698521340633,,22.244771564834,41.5654135997738,69.0698526374976
,25,10,5,5,750,27.5791509172739,43.6605027295176,75.8715589054412,,27.5679172494198,43.6475201525454,75.8715629929568,,27.5679292973568,43.6484012155209,75.8715630681289
,25,10,5,5,1000,53.6082757675494,68.7497303221508,84.4362701955462,,53.6082754111665,68.7218198235878,84.4362756653782,,53.6082754725637,68.7218364333372,84.4362757520663
