SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-2328.87016320229,0,5,0.1111414,2.0259315,2.1370729,,1,17,-703.553843975067,6.07555429592957e-08,5,0.038083,5.4359615,5.4740445,69.7899069217473,,1,17,-847.088090812556,6.78539183658106e-08,15,8.5188695,0.4312338,8.9501033,63.626650201582,,1,17,-736.130093574524,5.20376248458247e-08,5,0.0449497,4.1492673,4.194217,68.3911063310495
2,,,,,,-1431.45869326591,0,5,0.0694445,2.6966039,2.7660484,,18,,-833.647954940796,-2.48912940352309e-08,5,0.0440191,4.6203047,4.6643238,41.7623464188964,,18,,-833.775810376744,5.80621987731994e-08,19,10.0037864,0.5428101,10.5465965,41.7534145903672,,18,,-833.775774478912,-9.98340697713784e-09,5,0.0477098,4.285457,4.3331668,41.753417098147
3,,,,,,-1260.09311294556,-1.00516278397577e-08,4,0.0538516,1.6664499,1.7203015,,12,,-1040.20263051987,-7.57330353453294e-09,5,0.0421396,5.1104574,5.152597,17.4503360241118,,12,,-1040.26168391109,1.41397406687098e-09,2,0.8252765,0.0485841,0.8738606,17.4456495933543,,12,,-1040.26168394089,-1.29032264559918e-08,5,0.2025279,5.380733,5.5832609,17.4456495909892
4,,,,,,-2146.07516539097,-0.00734669041873859,5,0.027688,0.9825539,1.0102419,,19,,-140.602631568909,6.81713678155242e-08,5,0.0437057,5.2743473,5.318053,93.448382711083,,19,,-140.60263194094,4.84962233863382e-07,106,102.8245031,2.6996146,105.5241177,93.4483826937476,,19,,-140.602623462677,-5.60835976535306e-08,4,0.0282543,1.5350727,1.563327,93.4483830888066
5,,,,,,-1700.44433045387,-8.32494359305301e-09,4,0.0574764,1.6071498,1.6646262,,2,17,-1153.17988586426,-3.86849577145792e-08,5,0.0415567,4.1112495,4.1528062,32.1836142935383,,2,17,-1153.1798868007,2.55406292939443e-08,14,7.5921658,0.325793,7.9179588,32.1836142384681,,2,17,-1153.17988300323,-1.90672675693353e-08,5,0.0624763,2.9779618,3.0404381,32.1836144617898
6,,,,,,-1651.84827101231,-4.05940585155686e-09,5,0.0527641,2.138934,2.1916981,,14,,-1460.69893598557,-3.33272549879175e-07,5,0.0336797,5.7455171,5.7791968,11.5718458154512,,14,,-1460.69894391298,7.08867171013801e-09,2,0.909009,0.0641947,0.9732037,11.5718453355392,,14,,-1460.69894742966,2.19733692248232e-07,4,0.0517085,2.5314879,2.5831964,11.571845122646
7,,,,,,-2761.26793241501,-2.69824616056275e-10,4,0.0428203,1.5460309,1.5888512,,5,15,-2194.04400491714,6.90296364250941e-09,5,0.0412243,4.7747113,4.8159356,20.5421545964128,,5,15,-2194.04436714618,4.14528856112386e-14,2,1.1704857,0.0698933,1.240379,20.542141478199,,5,15,-2194.04436683655,6.3744589386534e-09,5,0.0462972,3.3801084,3.4264056,20.5421414894123
8,,,,,,-2358.58552932739,7.26551365631911e-09,4,0.0270642,0.8389243,0.8659885,,9,17,-1869.31302547455,-7.28929648308995e-08,5,0.0240191,3.3960381,3.4200572,20.7443189050843,,9,17,-1898.04823502898,1.19956331688461e-09,3,0.9380962,0.0437081,0.9818043,19.5259950750967,,9,17,-1898.04823493958,-1.94410333526144e-09,5,0.0256446,2.7723626,2.7980072,19.5259950788874
9,,,,,,-1374.00501298904,1.03028031195896e-08,5,0.0329433,1.6145783,1.6475216,,2,,-597.656411647797,-3.78316214698454e-08,5,0.0430766,4.0812947,4.1243713,56.5026032657887,,2,,-597.656412516513,1.61063026825297e-07,33,17.4707184,0.8769608,18.3476792,56.5026032025635,,2,,-597.656406879425,-2.72808963151345e-08,4,0.0359352,1.5545402,1.5904754,56.5026036128304
10,20,5,3,2,750,-1221.22630751133,2.44036033324797e-09,5,0.0350636,2.1264095,2.1614731,,6,,-1005.17925548553,5.48187258152261e-09,5,0.0381432,4.6647961,4.7029393,17.6909922998683,,6,,-1005.17925753336,6.54289621767013e-10,2,0.7377097,0.0566259,0.7943356,17.6909921321823,,6,,-1005.17923402786,-1.69562241449866e-08,5,0.0380917,3.6902282,3.7283199,17.6909940569277
