SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP_xsol_3,SDP_xsol_4,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ_xsol_3,PROJ_xsol_4,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP_xsol_3,IA_COP_xsol_4,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-3157.39404582977,0,33,1.0331679,36.8467545,37.8799224,,,,,,1.09362608782249e-05,0,33,1.8183012,621.1614505,622.9797517,100.00000034637,,,,,,0,0,2,12.4474124,0.1932033,12.6406157,100,,,,,,-8.59838069486643e-14,0,33,1.5465677,92.5157891,94.0623568,100
2,,,,,,-4271.13965213299,-4.1865625779029e-09,33,0.7022396,33.3329399,34.0351795,,21,,,,-399.005896568298,-2.58821499344021e-08,33,1.5225074,429.8749117,431.3974191,90.6580929432022,,21,,,,-399.852208264773,2.49996274027073e-07,90,1179.6147579,3.727892,1183.3426499,90.6382782856307,,21,,,,-181.672111034393,-1.29616632897192e-08,33,0.5974659,73.7959296,74.3933955,95.7465190597627
3,,,,,,0,0,33,1.1842473,31.2188775,32.4031248,,,,,,0,0,33,1.0281324,815.4666524,816.4947848,0,,,,,,1.1127848519041e-07,0,1,3.3872452,0.0243298,3.411575,0,,,,,,-8.81986054727404e-14,0,33,0.953509,58.1937777,59.1472867,0
4,,,,,,-3727.12682247162,0,33,1.0026433,39.0439629,40.0466062,,2,18,21,,-1347.68479418755,-8.25911759679074e-08,33,1.2904306,589.2535,590.5439306,63.8411876391735,,2,18,21,,-1352.47909111407,6.27842136286132e-08,29,150.2429815,1.2383515,151.481333,63.7125551253129,,2,18,21,,-746.892339944839,-2.71385091752709e-08,33,0.8634055,120.9347374,121.7981429,79.9606405813274
5,,,,,,-3648.8318144083,-1.96023213369365e-08,33,0.8319869,32.1367098,32.9686967,,1,6,18,23,-2263.63902068138,3.0162753702198e-09,33,1.1921538,389.5415864,390.7337402,37.962637473647,,1,6,18,23,-2263.65033342689,-9.36458179870532e-09,2,15.3092311,0.0889536,15.3981847,37.9623274361861,,1,6,18,23,-1152.01589989662,4.91106149858731e-08,33,1.4244255,117.2759184,118.7003439,68.4278158464962
6,,,,,,-2643.63446873426,-1.69098580421167e-09,33,0.4649317,20.5500901,21.0150218,,,,,,-7.15255737304688e-07,0,33,0.5634344,400.509433,401.0728674,99.9999999729442,,,,,,0,0,2,9.4988708,0.0544205,9.5532913,100,,,,,,-4.76837158203125e-07,0,33,0.4934389,59.2418475,59.7352864,99.9999999819628
7,,,,,,-5494.94217669964,-5.42359162832813e-09,33,0.7517461,35.5364586,36.2882047,,15,17,,,-1761.34068894386,1.76110417447557e-08,33,1.3242819,495.240367,496.5646489,67.9461469783517,,15,17,,,-1763.22231209794,3.42195114577395e-08,25,101.7342576,0.8008226,102.5350802,67.9119041584353,,15,17,,,-1259.34596300125,-1.38401654325699e-08,33,0.7522296,115.0558362,115.8080658,77.0817249298584
8,,,,,,-4640.89914849401,-9.47196310786355e-09,33,0.741801,33.5677543,34.3095553,,6,12,,,-2444.71479320526,-5.7528065686658e-09,33,0.9491943,335.5352825,336.4844768,47.3223891538651,,6,12,,,-2444.82047672127,2.8418346509079e-08,16,110.9400881,0.6638366,111.6039247,47.3201119331664,,6,12,,,-1788.72880315781,-8.01473261893996e-09,33,0.5794105,78.7230646,79.3024751,61.4572791624171
9,,,,,,-3497.02317637205,0,33,0.4756929,21.5807483,22.0564412,,3,16,,,-1890.65399599075,4.64306442543811e-07,33,0.5655907,365.5215645,366.0871552,45.9353312621682,,3,16,,,-1894.09607803456,2.69377321251865e-11,2,8.0281339,0.0710883,8.0992222,45.8369023450521,,3,16,,,-1322.59454751015,-5.36291888813514e-09,33,0.5438824,96.0052314,96.5491138,62.1794171555289
10,25,10,5,5,2000,-2157.24272656441,2.76300130909775e-09,33,0.3174658,12.6597108,12.9771766,,2,5,11,,-1115.77659440041,-9.89669674712236e-08,33,0.5304945,239.5297645,240.060259,48.2776518070651,,2,5,11,,-1119.6184721748,1.30386375546313e-09,2,5.8314883,0.0604807,5.891969,48.0995597580303,,2,11,,,-478.837007761002,5.80339842198482e-07,33,0.3989003,65.2363836,65.6352839,77.8032855614913
