SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-6147.73057556152,-1.93907797496303e-09,5,0.2197658,1.051868,1.2716338,,1,13,-3421.72986459732,2.36295915186538e-09,5,0.2354871,4.7824774,5.0179645,44.3415773911858,,1,13,-3425.32993044017,2.33567870863017e-08,30,17.9323956,1.1938773,19.1262729,44.2830181261268,,1,13,-2824.08674788475,-3.32805578835746e-10,5,0.0570627,5.0259274,5.0829901,54.0629389467543
2,,,,,,-3690.5650883913,0,5,0.1713702,1.269977,1.4413472,,3,,-2151.22430181503,-3.16534797187187e-05,5,0.2339988,5.6491272,5.883126,41.7101649668306,,3,,-2151.23616444005,3.35835588750846e-08,17,6.1388987,0.688388,6.8272867,41.7098435357021,,3,,-1826.1403222084,-4.54673856509801e-05,4,0.0694453,5.7554937,5.824939,50.5186799725457
3,,,,,,-3560.89979124069,2.30156396896546e-09,5,0.05985,1.1379571,1.1978071,,12,,-1949.84882807732,-2.25900209171928e-06,5,0.2373468,5.4683896,5.7057364,45.2428054034638,,12,,-1949.84887437323,2.50000523608776e-08,16,6.4254377,0.2702166,6.6956543,45.2428041033455,,12,,-1634.40766119957,4.81683920964242e-07,4,0.0754076,4.3567988,4.4322064,54.1012733573694
4,,,,,,-892.788985311985,-4.1726436590838e-09,5,0.3730736,1.0353358,1.4084094,,,,-4.76837158203125e-07,0,5,0.2399624,3.3282968,3.5682592,99.9999999465902,,,,0,0,1,0.3118354,0.0077832,0.3196186,100,,,,-7.80602603806222e-13,0,5,0.0737739,3.0911707,3.1649446,99.9999999999999
5,,,,,,-3584.57491761446,0,5,0.0282978,0.5954333,0.6237311,,2,,-563.905010461807,2.6818484710209e-09,5,0.0388582,3.673182,3.7120402,84.2685667499708,,2,,-563.905010020329,1.4005271414942e-07,107,52.616599,1.0829435,53.6995425,84.2685667622869,,2,,-393.705929279327,-2.2489383856569e-08,4,0.0254921,1.528498,1.5539901,89.0166633888813
6,,,,,,-3208.98238736391,0,5,0.0452623,1.0687341,1.1139964,,11,,-1824.47235703468,-5.80951785423443e-06,5,0.0452223,5.1353218,5.1805441,43.1448310773237,,11,,-1824.47246985528,1.06863127390395e-08,17,5.7738096,0.2572163,6.0310259,43.1448275615489,,11,,-1536.91271281242,-4.01567171777484e-07,4,0.0595696,4.0552781,4.1148477,52.1059162286349
7,,,,,,0,0,5,0.0487444,0.9532402,1.0019846,,,,-1.20780896395445e-09,0,5,0.0703618,4.248075,4.3184368,0,,,,0,0,1,0.2627701,0.0082049,0.270975,0,,,,-2.38418579101562e-07,0,5,0.0492342,3.3102355,3.3594697,0
8,,,,,,0,0,5,0.1577897,0.9496662,1.1074559,,,,-2.47018761001527e-09,0,5,0.0708563,3.8394363,3.9102926,0,,,,0,0,1,0.2895403,0.0071115,0.2966518,0,,,,-2.38418579101562e-07,0,5,0.0574205,3.9668155,4.024236,0
9,,,,,,-3732.84637272358,0,5,0.0313054,0.5553767,0.5866821,,1,,-2212.52495265007,3.76487508745188e-09,5,0.0484082,5.3350001,5.3834083,40.7282076000423,,1,,-2212.52563803369,4.08572143585781e-08,29,10.8107675,0.469049,11.2798165,40.7281892391577,,1,,-1885.9498693943,-8.05039945675888e-10,4,0.032985,2.7082506,2.7412356,49.476895615764
10,15,5,3,2,1500,0,0,5,0.0432781,0.6702354,0.7135135,,,,-2.72711986326613e-09,0,5,0.0601316,3.2621574,3.322289,0,,,,0,0,1,0.2237554,0.007343,0.2310984,0,,,,-9.45506802363747e-12,0,5,0.0589317,3.0092484,3.0681801,0
