SNo,d,s,t,r,w_i,SDP25,SDP50,SDP75,NULL1,PROJ25,PROJ50,PROJ75,NULL2,IA_COP25,IA_COP50,IA_COP75
,15,5,2,3,1500,27.8000246902735,32.1004540150612,36.2102211425875,,27.7999367419862,32.1003401700238,36.2102076177146,,41.8399404536008,42.9752202291951,46.0640959650116
,15,5,3,2,1500,0,42.4274980220771,45.2428054034638,,0,42.4273355486255,45.2428041033455,,0,51.3122981005903,54.1012733573694
,15,5,2,3,2000,36.6612113558741,38.0056763844149,43.2919838813127,,36.6612111988823,38.0056584356532,43.2916920633257,,48.569157480895,49.6360176310354,52.0984045134116
,15,5,3,2,2000,0,49.6773863668642,52.9553882230296,,0,49.6771983792089,52.885453213201,,0,60.0793654637563,64.565224983909
,20,5,2,3,1500,14.9124660881747,17.2512138551154,19.4839874210702,,14.912462959606,16.4743783859004,18.2537069482941,,26.0649959963502,27.9294674287968,30.0830405569929
,20,5,3,2,1500,19.8769900526242,29.0471525112904,59.4614390195267,,19.4522335104944,26.5282355120805,55.5941209835494,,31.2300897316784,39.794723976788,64.8133524022287
,20,5,2,3,2000,16.0567723414808,18.828736133095,21.3835572810374,,16.0567689728419,18.0297594341064,19.1563587029375,,28.3474542743503,30.8496111062846,32.4126333370345
,20,5,3,2,2000,25.8857951147669,36.9593153814619,69.4304835605956,,23.7591832368108,36.938230725925,69.4304838972603,,39.382475196006,52.2328662781823,78.3908454996792
,25,10,5,5,1500,27.67982900178,42.2271315934877,75.7674436990027,,27.5937128628913,42.1803350644074,75.7597814613729,,44.2005709553028,53.7885542085752,83.5909490812807
,25,10,5,5,2000,45.9353312621682,56.0594197231193,90.6580929432022,,45.8369023450521,55.9060574416716,90.6382782856307,,62.1794171555289,77.4425052456748,95.7465190597627
