SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-4652.31346082687,0,5,0.2011741,3.4815723,3.6827464,,17,,-963.522696018219,1.5689947933083e-08,5,0.2695918,22.5733622,22.842954,79.2893857189286,,1,17,-2065.90068688083,2.93059355382472e-08,15,11.5564437,0.7497223,12.306166,55.5941209835494,,1,17,-1636.99314260483,-1.46913733622872e-08,5,0.090382,38.0087677,38.0991497,64.8133524022287
2,,,,,,-3687.38787090778,2.02055787396448e-09,5,0.061673,3.1607597,3.2224327,,18,,-2039.1703953743,3.35558999095841e-08,5,0.2567843,22.6724433,22.9292276,44.6987822609428,,18,,-2101.93393968475,4.58412284120936e-08,36,36.4359656,1.4424369,37.8784025,42.9966682846606,,18,,-1754.52685213089,4.86762719701375e-09,5,0.0654527,32.2095313,32.274984,52.4181639264613
3,,,,,,-3059.97447419167,3.16530574280676e-09,4,0.0687816,2.4545207,2.5233023,,12,,-2451.74365234375,3.87977885771601e-09,5,0.2739001,28.51632,28.7902201,19.8769900526242,,12,,-2451.74544805288,1.74116578256599e-09,2,0.7944869,0.1260036,0.9204905,19.8769313688296,,12,,-2051.79316186905,-4.21047183716166e-09,5,0.111735,48.3898897,48.5016247,32.947376549242
4,,,,,,-5564.54937458038,-2.67787383861094e-09,5,0.0278192,1.0431642,1.0709834,,19,,-425.835738182068,3.8691501536993e-08,5,0.2729372,20.6684232,20.9413604,92.3473454988585,,19,,-448.84459271376,-9.87931145106405e-08,216,346.1582947,7.3813864,353.5396811,91.9338555110295,,19,,-340.86913728714,3.83004244677983e-08,4,0.0286914,11.2817728,11.3104642,93.8742723922214
5,,,,,,-4508.16281116009,1.32214933825898e-09,5,0.0317349,1.5262901,1.558025,,2,17,-3022.15183353424,-3.88733776754111e-09,5,0.1060841,23.172469,23.2785531,32.962673263423,,2,17,-3022.15514861237,3.10976147288884e-08,76,79.051581,3.2563518,82.3079328,32.9625997284096,,2,17,-2421.92301464081,1.4485158660871e-08,5,0.0316177,15.2563657,15.2879834,46.2769399400291
6,,,,,,-4283.16224944592,-1.04370278261875e-09,5,0.0462345,2.6759962,2.7222307,,14,,-3519.90811300278,-4.14329576884836e-09,5,0.0667191,21.5472027,21.6139218,17.8198744757305,,14,,-3519.90814348545,-4.21375757318089e-10,2,1.2640986,0.072076,1.3361746,17.8198737640444,,14,,-3045.92663860321,5.5135935824373e-09,4,0.0806924,18.7102666,18.790959,28.8860318332036
7,,,,,,-6840.77827978134,1.30697069114691e-09,4,0.0592336,2.325139,2.3843726,,5,15,-5466.20055484772,-6.92335342600809e-09,5,0.0537371,26.6718712,26.7256083,20.0938792154153,,5,15,-5466.20109661436,1.94923533581844e-09,2,1.6853538,0.0647346,1.7500884,20.0938712957514,,5,15,-4561.9434671402,-5.68668509611401e-09,5,0.0815101,35.5037447,35.5852548,33.312508013547
8,,,,,,-5579.33237862587,-8.01233562510089e-10,4,0.0270144,0.929356,0.9563704,,9,17,-4764.50680589676,-7.98346035907674e-09,5,0.0216957,14.2555458,14.2772415,14.6043561744173,,9,17,-4764.76463483233,9.38037900182656e-10,2,0.7380801,0.0342121,0.7722922,14.5997350312755,,9,17,-3875.86039352417,3.79575188557338e-09,5,0.0318787,26.4345625,26.4664412,30.5318247686338
9,,,,,,-3482.30380928516,-6.84657606455378e-09,5,0.0367384,1.8394593,1.8761977,,2,,-1411.67585325241,4.52435771886678e-09,5,0.04467,16.5751299,16.6197999,59.4614390195267,,2,,-1411.67584336008,3.13872205084771e-08,17,7.9497747,0.4416262,8.3914009,59.4614393036011,,2,,-1144.45063781738,1.32788774964704e-08,4,0.0355226,12.5034867,12.5390093,67.1352443527231
10,20,5,3,2,1500,-3308.45506858826,-6.75594539668606e-10,5,0.0306258,1.5796164,1.6102422,,6,,-2476.98632383347,1.95914538632747e-07,5,0.0230211,11.6466949,11.669716,25.1316317591578,,6,,-2664.88666305668,7.98614677183885e-12,2,0.6178637,0.0514675,0.6693312,19.4522335104944,,6,,-2275.22158193588,9.92909596232869e-09,5,0.0353519,23.6426026,23.6779545,31.2300897316784
