SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-5779.45679235458,4.38310639557885e-09,9,0.1730503,1.9039466,2.0769969,,13,14,-3255.86524653435,1.26526675702301e-08,9,0.1114806,9.2103529,9.3218335,43.664857035675,,13,14,-3255.87953543072,1.00411259673969e-08,14,8.5779644,0.2368364,8.8148008,43.6646097996995,,14,,-2668.13717937469,9.13197539048836e-10,9,0.1287429,11.4914466,11.6201895,53.8341184087704
2,,,,,,-3486.73383879662,4.22025235055026e-09,9,0.2439233,1.7911815,2.0351048,,3,14,-2338.09417819977,-9.67557578516251e-09,9,0.096992,9.7442521,9.8412441,32.9431414527838,,3,14,-2338.09418005054,-2.43585389805767e-10,2,0.8273859,0.0393482,0.8667341,32.9431413997033,,3,14,-1670.82243013382,-1.33128030969387e-08,8,0.3053164,11.2617339,11.5670503,52.0805858037482
3,,,,,,-6823.75214016438,-3.98528824320939e-09,9,0.2230314,2.0272586,2.25029,,4,7,-4322.08194565773,8.70244931992298e-09,9,0.1061896,9.1466969,9.2528865,36.6612113558741,,4,7,-4322.08195637046,1.10012261659373e-08,24,17.5514081,0.4718166,18.0232247,36.6612111988823,,4,7,-3470.4690515995,1.14692484599067e-08,9,0.1065543,10.380344,10.4868983,49.1413377814174
4,,,,,,-5674.92393100262,-6.26907475463302e-09,8,0.1761052,1.5970209,1.7731261,,14,,-3428.44140386581,1.66350843259355e-08,9,0.1085259,9.4636041,9.57213,39.5861258133183,,14,,-3428.44140436157,5.44883781611389e-11,6,3.4003705,0.087762,3.4881325,39.5861258045823,,14,,-2918.66119003296,-2.60920351525937e-09,9,0.3646752,17.7902051,18.1548803,48.569157480895
5,,,,,,-4958.49427646399,-9.01553598513419e-10,9,0.123088,1.6356019,1.7586899,,14,,-3136.16763353348,7.82486137868158e-09,9,0.1079158,9.0383345,9.1462503,36.7516133189943,,14,,-3136.16835272917,2.23718756242929e-08,15,8.9813582,0.268405,9.2497632,36.751598814678,,14,,-2639.97280406952,1.07699062373356e-08,9,0.1164795,11.3240482,11.4405277,46.7585791799654
6,,,,,,-5392.62581777573,1.16056405782618e-08,9,0.2134464,2.303639,2.5170854,,13,15,-3359.26887750626,2.69114484128646e-07,9,0.1313736,9.5356241,9.6669977,37.7062494038973,,13,15,-3359.27054260602,4.93074829746786e-10,2,0.9664487,0.0317466,0.9981953,37.7062185265507,,15,,-2689.26488280296,-1.20999242760037e-08,9,0.1810734,15.6115059,15.7925793,50.1306974806534
7,,,,,,-4206.61306858063,1.06269540014115e-09,9,0.1711836,1.7301384,1.901322,,12,,-3254.52604317665,-0.000134666497404429,9,0.1494009,8.8742888,9.0236897,22.6331019725859,,12,,-3254.5304736793,1.69386038337629e-08,2,0.9011465,0.029812,0.9309585,22.6329966502617,,12,,-2688.18859887123,2.39117361689604e-07,9,0.1271106,10.5131243,10.6402349,36.0961287609401
8,,,,,,-6347.67672526836,-4.69499687485036e-10,9,0.2490511,1.7089784,1.9580295,,9,,-3599.64154052734,-6.10332323275754e-07,9,0.136586,9.678504,9.81509,43.2919838813127,,9,,-3599.66006418979,5.46668041274308e-09,17,12.5898302,0.2833086,12.8731388,43.2916920633257,,9,,-3040.63842773438,4.44238846461106e-08,9,0.1167316,11.111752,11.2284836,52.0984045134116
9,,,,,,-6793.18149852753,-2.19354674935118e-09,9,0.0960662,1.0303767,1.1264429,,6,8,-4191.04630374908,-5.13490998967016e-09,9,0.0995639,7.9106825,8.0102464,38.3051033649325,,6,8,-4191.04664477881,6.50679685751833e-10,3,2.5082212,0.0454275,2.5536487,38.3050983447557,,6,8,-3467.94658780098,2.66033920108173e-09,9,0.0802756,6.1591038,6.2393794,48.949596171504
10,15,5,2,3,2000,-1870.29119443893,-2.86822610603929e-08,9,0.0592449,0.9321897,0.9914346,,2,5,-716.38322019577,6.76038015774475e-08,9,0.0791067,6.2901979,6.3693046,61.6967014374103,,2,5,-716.38322057412,1.01438203163691e-10,2,0.51627,0.0197104,0.5359804,61.6967014171808,,5,,-334.210699319839,3.77909891850398e-09,9,0.0596705,6.4815715,6.541242,82.1305527014418
