SNo,d,s,t,r,w_i,Discrete_LB,Discrete_LB_gap,DiscreteLB_Iters,DiscreteLB_MPtime,DiscreteLB_SPtime,DiscreteLB_rtime,NULL1,SDP_xsol_1,SDP_xsol_2,SDP,SDP_gap,SDP_Iters,SDP_MPtime,SDP_SPtime,SDP_rtime,Gap_SDP,NULL2,PROJ_xsol_1,PROJ_xsol_2,PROJ,PROJ_gap,PROJ_Iters,PROJ_MPtime,PROJ_SPtime,PROJ_rtime,Gap_PROJ,NULL3,IA_COP_xsol_1,IA_COP_xsol_2,IA_COP,IA_COP_gap,IA_COP_Iters,IA_COP_MPtime,IA_COP_SPtime,IA_COP_rtime,Gap_IA_COP
1,,,,,,-4152.31346082687,0,5,0.0750342,4.3347169,4.4097511,,17,,-463.522696018219,3.26146293649349e-08,5,0.0524538,22.204853,22.2573068,88.837001339347,,1,17,-1065.90068690038,5.75557296936464e-08,15,12.9805927,0.6121053,13.592698,74.3299561327404,,1,17,-636.993142604828,-3.77550021200638e-08,5,0.0875005,44.2120016,44.2995021,84.6593194705975
2,,,,,,-3187.38787090778,2.33751927869446e-09,5,0.0951543,4.1116491,4.2068034,,18,,-1539.17039489746,1.34764038693951e-08,5,0.080976,22.5621428,22.6431188,51.7106026239882,,18,,-1601.93393958823,6.07574611416514e-08,36,40.3311331,1.5653283,41.8964614,49.7414809722548,,18,,-1254.52685213089,6.80765231036457e-09,5,0.1389817,35.4229514,35.5619331,60.6409102707166
3,,,,,,-2559.97447419167,3.78353568508113e-09,4,0.1137385,3.4011959,3.5149344,,12,,-1951.74365234375,4.87370519969667e-09,5,0.0510647,28.9794113,29.030476,23.7592533823983,,12,,-1951.74544805288,2.1872192841389e-09,2,1.1569408,0.0745584,1.2314992,23.7591832368108,,12,,-1551.79316186905,-5.56711908262651e-09,5,0.0751324,55.8804216,55.955554,39.382475196006
4,,,,,,-5064.54937458038,-2.94224818275807e-09,5,0.1508929,3.1719758,3.3228687,,,,-4.76837158203125e-07,0,5,0.0532714,22.5969582,22.6502296,99.9999999905848,,,,0,0,4,2.825781,0.1318611,2.9576421,100,,,,-1.73124928453193e-12,0,5,0.1910558,31.2030771,31.3941329,100
5,,,,,,-3631.26332890987,8.20714987823319e-10,5,0.027128,1.2317249,1.2588529,,2,17,-2022.15183353424,-5.80971456589802e-09,5,0.0829359,27.0562052,27.1391411,44.3127184570968,,2,17,-2022.1551486112,4.04567706023412e-08,85,96.7234261,3.6660908,100.3895169,44.3126271644348,,2,17,-1421.92301464081,2.46721789930021e-08,5,0.0264103,11.4864875,11.5128978,60.8421949650322
6,,,,,,-3783.16224944592,-1.18164330879783e-09,5,0.094647,3.1287132,3.2233602,,14,,-3019.90811300278,-4.82929276177153e-09,5,0.0553097,24.9737202,25.0290299,20.1750304670365,,14,,-3019.90814348702,-3.90401934724713e-10,2,1.2385258,0.0760623,1.3145881,20.1750296612492,,14,,-2545.92663860321,6.59642006668004e-09,4,0.0962515,22.1734643,22.2697158,32.7037417182917
7,,,,,,-6340.77827978134,1.41003143806771e-09,4,0.0728826,2.9921166,3.0649992,,5,15,-4466.20055484772,-8.47351968947633e-09,5,0.0872831,29.5977686,29.6850517,29.5638428315817,,5,15,-4466.20109661436,2.38567679773471e-09,2,1.8816902,0.0824439,1.9641341,29.5638342874153,,5,15,-3561.9434671402,-7.28319698592222e-09,5,0.0747253,40.9690788,41.0438041,43.824822285648
8,,,,,,-5079.33237862587,-8.80105499093894e-10,4,0.0781654,2.8475122,2.9256776,,9,17,-3764.50680589676,-1.01041791598958e-08,5,0.063613,38.9753243,39.0389373,25.8857951147669,,9,17,-3764.76463487186,2.38201045183174e-09,2,1.9376196,0.0744054,2.012025,25.8807190741404,,9,,-2927.89750289917,-6.67170031130838e-05,4,0.0888766,47.2103213,47.2991979,42.3566468061839
9,,,,,,-2982.30380928516,-7.9944430329085e-09,5,0.044005,2.5848696,2.6288746,,2,,-911.675853252411,7.00569892293953e-09,5,0.0683363,20.2203813,20.2887176,69.4304835605956,,2,,-911.675843212047,2.68524527063976e-08,16,9.4249708,0.4914185,9.9163893,69.4304838972603,,2,,-644.450637817383,2.35813558534188e-08,4,0.0523665,16.615577,16.6679435,78.3908454996792
10,20,5,3,2,2000,-2808.45506858826,-7.95873220147587e-10,5,0.0327276,1.5549236,1.5876512,,6,,-1976.98632383347,2.45463323131383e-07,5,0.0728512,17.7196762,17.7925274,29.6059123058269,,6,,-2164.88666305644,-1.42838054240779e-12,2,0.6954578,0.0538465,0.7493043,22.9153890596272,,6,,-1775.22158193588,1.27256752917387e-08,5,0.0434351,31.3275815,31.3710166,36.7901020817027
